Time_(hours),Parent_Population,Daughter_Population,Granddaughter_Population
413.,92035.4453,314724.2500,593240.4375
414.,91505.3672,313957.3125,594537.1875
415.,90978.3203,313190.6250,595831.1875
416.,90454.3281,312424.0625,597121.5000
417.,89933.3516,311657.5312,598409.0625
418.,89415.3750,310891.2188,599693.3750
419.,88900.3750,310125.1875,600974.5000
420.,88388.3438,309359.1875,602252.1875
421.,87879.2734,308593.5000,603527.3750
422.,87373.1328,307828.0000,604798.8125
423.,86869.8828,307062.7812,606067.5000
424.,86369.5547,306297.8125,607332.7500
425.,85872.1094,305533.0000,608595.0625
426.,85377.5312,304768.5625,609853.8750
427.,84885.7656,304004.5312,611109.6875
428.,84396.8672,303240.6562,612362.3125
429.,83910.7891,302477.1875,613611.9375
430.,83427.5000,301714.0625,614858.3125
431.,82946.9766,300951.3438,616101.5000
432.,82469.2500,300188.9375,617341.6875
433.,81994.2578,299427.0312,618578.6875
434.,81522.0078,298665.3750,619812.6875
435.,81052.4688,297904.3125,621043.4375
436.,80585.6406,297143.5938,622270.7500
437.,80121.5078,296383.2500,623495.3750
438.,79660.0469,295623.4375,624716.6875
439.,79201.2266,294864.1250,625934.6250
440.,78745.0703,294105.3125,627149.7500
441.,78291.5312,293346.9688,628361.4375
442.,77840.6094,292589.0625,629570.1250
443.,77392.2656,291831.8438,630775.8750
444.,76946.5234,291075.0938,631978.1250
445.,76503.3516,290318.8750,633177.6875
446.,76062.7344,289563.2188,634374.0000
447.,75624.6250,288808.2500,635567.3125
448.,75189.0625,288053.7188,636757.1875
449.,74756.0078,287299.8750,637944.0625
450.,74325.4531,286546.6250,639128.0000
451.,73897.3516,285794.0000,640308.6875
452.,73471.7500,285042.0000,641486.1250
453.,73048.5859,284290.6250,642660.8750
454.,72627.8594,283539.9688,643831.8750
455.,72209.5391,282790.0625,645000.4375
456.,71793.6484,282040.6562,646165.7500
457.,71380.1562,281292.0312,647327.8125
458.,70969.0391,280544.1875,648486.9375
459.,70560.2656,279796.9688,649642.8125
460.,70153.8750,279050.5000,650795.5000
461.,69749.8281,278304.7812,651945.4375
462.,69348.0938,277559.7500,653092.1250
463.,68948.6719,276815.5938,654235.6250
464.,68551.5625,276072.1250,655376.1250
465.,68156.7344,275329.4062,656513.9375
466.,67764.1875,274587.5000,657648.2500
467.,67373.8828,273846.5000,658779.5625
468.,66985.8359,273106.1562,659907.9375
469.,66600.0312,272366.6875,661033.3125
470.,66216.4531,271628.0000,662155.5000
471.,65835.0625,270890.2812,663274.6875
472.,65455.8828,270153.2812,664390.8750
473.,65078.8828,269417.1875,665504.1250
474.,64704.0664,268681.9062,666613.8750
475.,64331.3828,267947.6250,667721.1250
476.,63960.8633,267214.0938,668824.9375
477.,63592.4844,266481.5000,669926.0625
478.,63226.2227,265749.8125,671023.8750
479.,62862.0547,265019.0312,672119.0000
480.,62500.0000,264289.1875,673210.6875
481.,62140.0273,263560.2188,674299.8750
482.,61782.1328,262832.1562,675385.5625
483.,61426.2812,262105.1406,676468.5625
484.,61072.5000,261379.0000,677548.3125
485.,60720.7500,260653.8750,678625.5625
486.,60371.0273,259929.5781,679699.3750
487.,60023.3047,259206.3594,680770.4375
488.,59677.6016,258484.1250,681838.3125
489.,59333.8867,257762.8438,682903.1875
490.,58992.1523,257042.6406,683965.3125
491.,58652.3711,256323.2812,685024.5000
492.,58314.5625,255605.0156,686080.4375
